Eval epoch 96, loss: 0.567, acc: 0.694
Epoch 97, loss: 0.562, acc: 0.734
Eval epoch 97, loss: 0.575, acc: 0.685
Epoch 98, loss: 0.543, acc: 0.722
Eval epoch 98, loss: 0.585, acc: 0.640
Epoch 99, loss: 0.539, acc: 0.739
Eval epoch 99, loss: 0.571, acc: 0.676
Epoch 100, loss: 0.543, acc: 0.740
Eval epoch 100, loss: 0.586, acc: 0.685
Epoch 101, loss: 0.554, acc: 0.735
Eval epoch 101, loss: 0.586, acc: 0.676
Epoch 102, loss: 0.569, acc: 0.708
Eval epoch 102, loss: 0.577, acc: 0.658
Epoch 103, loss: 0.557, acc: 0.728
Eval epoch 103, loss: 0.581, acc: 0.658
Epoch 104, loss: 0.562, acc: 0.717
Eval epoch 104, loss: 0.574, acc: 0.694
Epoch 105, loss: 0.579, acc: 0.734
Eval epoch 105, loss: 0.581, acc: 0.676
Epoch 106, loss: 0.570, acc: 0.754
Eval epoch 106, loss: 0.559, acc: 0.712
Epoch 107, loss: 0.547, acc: 0.725
Eval epoch 107, loss: 1.263, acc: 0.676
Epoch 108, loss: 0.581, acc: 0.708
Eval epoch 108, loss: 0.582, acc: 0.667
Epoch 109, loss: 0.557, acc: 0.737
Eval epoch 109, loss: 0.582, acc: 0.712
Epoch 110, loss: 0.556, acc: 0.738
Eval epoch 110, loss: 0.564, acc: 0.712
Epoch 111, loss: 0.584, acc: 0.721
Eval epoch 111, loss: 0.575, acc: 0.685
Epoch 112, loss: 0.580, acc: 0.748
Eval epoch 112, loss: 0.593, acc: 0.667
Epoch 113, loss: 0.529, acc: 0.731
Eval epoch 113, loss: 0.578, acc: 0.703
Epoch 114, loss: 0.583, acc: 0.746
Eval epoch 114, loss: 0.585, acc: 0.676
Epoch 115, loss: 0.532, acc: 0.747
Eval epoch 115, loss: 0.606, acc: 0.658
Epoch 116, loss: 0.578, acc: 0.722
Eval epoch 116, loss: 0.576, acc: 0.694
Epoch 117, loss: 0.543, acc: 0.745
Eval epoch 117, loss: 0.566, acc: 0.748
Epoch 118, loss: 0.618, acc: 0.747
Eval epoch 118, loss: 0.985, acc: 0.604
Epoch 119, loss: 0.568, acc: 0.719
Eval epoch 119, loss: 0.600, acc: 0.667
Epoch 120, loss: 0.544, acc: 0.717
Eval epoch 120, loss: 0.593, acc: 0.658
Epoch 121, loss: 0.566, acc: 0.721
Eval epoch 121, loss: 0.564, acc: 0.739
Epoch 122, loss: 0.542, acc: 0.742
Eval epoch 122, loss: 0.569, acc: 0.685
Epoch 123, loss: 0.513, acc: 0.733
Eval epoch 123, loss: 0.575, acc: 0.712
Epoch 124, loss: 0.523, acc: 0.757
Eval epoch 124, loss: 0.573, acc: 0.649
Epoch 125, loss: 0.558, acc: 0.746
Eval epoch 125, loss: 0.579, acc: 0.676
Epoch 126, loss: 0.541, acc: 0.735
Eval epoch 126, loss: 0.586, acc: 0.676
Epoch 127, loss: 0.538, acc: 0.734
Eval epoch 127, loss: 0.573, acc: 0.721
Epoch 128, loss: 0.568, acc: 0.744
Eval epoch 128, loss: 0.615, acc: 0.667
Epoch 129, loss: 0.555, acc: 0.727
Eval epoch 129, loss: 0.576, acc: 0.694
Epoch 130, loss: 0.547, acc: 0.748
Eval epoch 130, loss: 0.582, acc: 0.658
Epoch 131, loss: 0.565, acc: 0.733
Eval epoch 131, loss: 0.575, acc: 0.658
Epoch 132, loss: 0.562, acc: 0.727
Eval epoch 132, loss: 0.600, acc: 0.676
Epoch 133, loss: 0.541, acc: 0.731
Eval epoch 133, loss: 0.577, acc: 0.676
Epoch 134, loss: 0.572, acc: 0.703
Eval epoch 134, loss: 0.587, acc: 0.667
Epoch 135, loss: 0.530, acc: 0.745
Eval epoch 135, loss: 0.579, acc: 0.667
Epoch 136, loss: 0.539, acc: 0.733
Eval epoch 136, loss: 0.574, acc: 0.658
Epoch 137, loss: 0.561, acc: 0.728
Eval epoch 137, loss: 0.591, acc: 0.667
Epoch 138, loss: 0.544, acc: 0.740
Eval epoch 138, loss: 0.577, acc: 0.658
Epoch 139, loss: 0.536, acc: 0.751
Eval epoch 139, loss: 0.586, acc: 0.649
Epoch 140, loss: 0.543, acc: 0.731
Eval epoch 140, loss: 0.575, acc: 0.676
Epoch 141, loss: 0.531, acc: 0.738
Eval epoch 141, loss: 0.593, acc: 0.676
Epoch 142, loss: 0.569, acc: 0.737
Eval epoch 142, loss: 0.582, acc: 0.712
Epoch 143, loss: 0.530, acc: 0.743
Eval epoch 143, loss: 0.579, acc: 0.694
Epoch 144, loss: 0.524, acc: 0.737
Eval epoch 144, loss: 0.586, acc: 0.649
Epoch 145, loss: 0.535, acc: 0.735
Eval epoch 145, loss: 0.577, acc: 0.676
Epoch 146, loss: 0.579, acc: 0.719
Eval epoch 146, loss: 0.580, acc: 0.676
Epoch 147, loss: 0.545, acc: 0.725
Eval epoch 147, loss: 0.587, acc: 0.685
Epoch 148, loss: 0.583, acc: 0.726
Eval epoch 148, loss: 0.574, acc: 0.730
Epoch 149, loss: 0.557, acc: 0.729
Eval epoch 149, loss: 0.587, acc: 0.640
Epoch 150, loss: 0.539, acc: 0.739
Eval epoch 150, loss: 0.577, acc: 0.658
Epoch 151, loss: 0.522, acc: 0.746
Eval epoch 151, loss: 0.569, acc: 0.694
Epoch 152, loss: 0.541, acc: 0.729
Eval epoch 152, loss: 0.565, acc: 0.667
Epoch 153, loss: 0.568, acc: 0.720
Eval epoch 153, loss: 0.607, acc: 0.658
Epoch 154, loss: 0.548, acc: 0.721
Eval epoch 154, loss: 0.572, acc: 0.703
Epoch 155, loss: 0.548, acc: 0.747
Eval epoch 155, loss: 0.585, acc: 0.658
Epoch 156, loss: 0.537, acc: 0.717
Eval epoch 156, loss: 0.577, acc: 0.658
Epoch 157, loss: 0.546, acc: 0.722
Eval epoch 157, loss: 0.574, acc: 0.658
Epoch 158, loss: 0.537, acc: 0.729
Eval epoch 158, loss: 0.577, acc: 0.667
Epoch 159, loss: 0.522, acc: 0.749
Eval epoch 159, loss: 0.578, acc: 0.649
Epoch 160, loss: 0.549, acc: 0.736
Eval epoch 160, loss: 0.617, acc: 0.712
Epoch 161, loss: 0.521, acc: 0.739
Eval epoch 161, loss: 0.587, acc: 0.640
Epoch 162, loss: 0.544, acc: 0.734
Eval epoch 162, loss: 0.581, acc: 0.640
Epoch 163, loss: 0.571, acc: 0.730
Eval epoch 163, loss: 0.572, acc: 0.694
Epoch 164, loss: 0.540, acc: 0.751
Eval epoch 164, loss: 0.590, acc: 0.649
Epoch 165, loss: 0.526, acc: 0.735
Eval epoch 165, loss: 0.576, acc: 0.658
Epoch 166, loss: 0.524, acc: 0.742
Eval epoch 166, loss: 0.588, acc: 0.640
Epoch 167, loss: 0.533, acc: 0.726
Eval epoch 167, loss: 0.593, acc: 0.640
Epoch 168, loss: 0.538, acc: 0.736
Eval epoch 168, loss: 0.576, acc: 0.667
Epoch 169, loss: 0.546, acc: 0.738
Eval epoch 169, loss: 0.604, acc: 0.658
Epoch 170, loss: 0.545, acc: 0.715
Eval epoch 170, loss: 0.584, acc: 0.658
Epoch 171, loss: 0.585, acc: 0.734
Eval epoch 171, loss: 0.583, acc: 0.658
Epoch 172, loss: 0.535, acc: 0.733
Eval epoch 172, loss: 0.585, acc: 0.658
Epoch 173, loss: 0.562, acc: 0.738
Eval epoch 173, loss: 0.570, acc: 0.694
Epoch 174, loss: 0.527, acc: 0.716
Eval epoch 174, loss: 0.593, acc: 0.685
Epoch 175, loss: 0.522, acc: 0.749
Eval epoch 175, loss: 0.594, acc: 0.685
Epoch 176, loss: 0.530, acc: 0.740
Eval epoch 176, loss: 0.570, acc: 0.667
Epoch 177, loss: 0.542, acc: 0.758
Eval epoch 177, loss: 0.581, acc: 0.685
Epoch 178, loss: 0.547, acc: 0.727
Eval epoch 178, loss: 0.594, acc: 0.667
Epoch 179, loss: 0.534, acc: 0.735
Eval epoch 179, loss: 0.600, acc: 0.667
Epoch 180, loss: 0.531, acc: 0.729
Eval epoch 180, loss: 0.586, acc: 0.658
Epoch 181, loss: 0.512, acc: 0.729
Eval epoch 181, loss: 0.570, acc: 0.703
Epoch 182, loss: 0.523, acc: 0.740
Eval epoch 182, loss: 0.569, acc: 0.667
Epoch 183, loss: 0.525, acc: 0.731
Eval epoch 183, loss: 0.583, acc: 0.649
Epoch 184, loss: 0.545, acc: 0.731
Eval epoch 184, loss: 0.568, acc: 0.667
Epoch 185, loss: 0.533, acc: 0.738
Eval epoch 185, loss: 0.582, acc: 0.667
Epoch 186, loss: 0.539, acc: 0.730
Eval epoch 186, loss: 0.572, acc: 0.694
Epoch 187, loss: 0.533, acc: 0.749
Eval epoch 187, loss: 0.580, acc: 0.685
Epoch 188, loss: 0.539, acc: 0.733
Eval epoch 188, loss: 0.584, acc: 0.667
Epoch 189, loss: 0.540, acc: 0.738
Eval epoch 189, loss: 0.565, acc: 0.685
Epoch 190, loss: 0.527, acc: 0.751
Eval epoch 190, loss: 0.653, acc: 0.685
Epoch 191, loss: 0.554, acc: 0.737
Eval epoch 191, loss: 0.583, acc: 0.658
Epoch 192, loss: 0.535, acc: 0.736
Eval epoch 192, loss: 0.583, acc: 0.667
Epoch 193, loss: 0.509, acc: 0.749
Eval epoch 193, loss: 0.571, acc: 0.667
Epoch 194, loss: 0.508, acc: 0.749
Eval epoch 194, loss: 0.571, acc: 0.703
Epoch 195, loss: 0.530, acc: 0.753
Eval epoch 195, loss: 0.583, acc: 0.658
Epoch 196, loss: 0.529, acc: 0.744
Eval epoch 196, loss: 0.582, acc: 0.676
Epoch 197, loss: 0.514, acc: 0.740
Eval epoch 197, loss: 0.597, acc: 0.667
Epoch 198, loss: 0.534, acc: 0.737
Eval epoch 198, loss: 0.582, acc: 0.658
Epoch 199, loss: 0.546, acc: 0.738
Eval epoch 199, loss: 0.609, acc: 0.649
Epoch 200, loss: 0.532, acc: 0.722
Eval epoch 200, loss: 0.578, acc: 0.712
Epoch 201, loss: 0.562, acc: 0.743
Eval epoch 201, loss: 0.595, acc: 0.667
Epoch 202, loss: 0.516, acc: 0.746
Eval epoch 202, loss: 0.606, acc: 0.676
Epoch 203, loss: 0.525, acc: 0.734
Eval epoch 203, loss: 0.600, acc: 0.703
Epoch 204, loss: 0.535, acc: 0.739
Eval epoch 204, loss: 0.618, acc: 0.703
Epoch 205, loss: 0.541, acc: 0.719
Eval epoch 205, loss: 0.570, acc: 0.685
Epoch 206, loss: 0.570, acc: 0.736
Eval epoch 206, loss: 0.583, acc: 0.676
Epoch 207, loss: 0.525, acc: 0.727
Eval epoch 207, loss: 0.591, acc: 0.640
Epoch 208, loss: 0.549, acc: 0.736
Eval epoch 208, loss: 0.576, acc: 0.667
Epoch 209, loss: 0.541, acc: 0.747
Eval epoch 209, loss: 0.601, acc: 0.685
Epoch 210, loss: 0.549, acc: 0.745
Eval epoch 210, loss: 0.583, acc: 0.658
Epoch 211, loss: 0.517, acc: 0.726
Eval epoch 211, loss: 0.591, acc: 0.658
Epoch 212, loss: 0.555, acc: 0.738
Eval epoch 212, loss: 0.580, acc: 0.685
Epoch 213, loss: 0.528, acc: 0.738
Eval epoch 213, loss: 0.579, acc: 0.703
